session_id;network_packet_size;protocol_type;login_attempts;session_duration;encryption_used;ip_reputation_score;failed_logins;browser_type;unusual_time_access;attack_detected
SID_00001;599;TCP;4;4.929.832.634.426.560;DES;0.606818080396889;1;Edge;0;1
SID_00002;472;TCP;3;15.579.964.611.204.300;DES;0.30156896759608937;0;Firefox;0;0
SID_00003;629;TCP;3;7.504.426.166.420.740;DES;0.7391643279163831;2;Chrome;0;1
SID_00004;804;UDP;4;6.012.488.351.708.320;DES;0.12326717575248465;0;Unknown;0;1
SID_00005;453;TCP;5;5.325.408.884.201.410;AES;0.05487385674317035;1;Firefox;0;0
SID_00006;453;UDP;5;3.804.715.502.453.130;AES;0.4224858607066699;2;Chrome;1;0
SID_00007;815;ICMP;4;7.281.071.646.972.350;AES;0.4137719285892984;1;Chrome;0;1
SID_00008;653;TCP;3;125.999.060.098.958;DES;0.09771936585769499;3;Chrome;1;1
SID_00009;406;TCP;2;5.425.588.952.208.970;None;0.2945796876500889;0;Chrome;1;0
SID_00010;608;UDP;6;5.319.441.066.211.390;None;0.4241165641663546;1;Chrome;0;0
SID_00011;407;UDP;6;5.807.219.253.670.750;DES;0.12289373890646282;3;Firefox;0;1
SID_00012;406;UDP;9;1.910.528.369.326.700;DES;0.33971127134338935;1;Edge;0;1
SID_00013;548;TCP;2;18.614.763.834.150.700;None;0.4068986326067099;2;Safari;1;0
SID_00014;117;TCP;4;8.334.889.649.491.390;DES;0.4732919047923998;2;Unknown;0;1
SID_00015;155;TCP;3;7.784.995.157.439.050;None;0.3524755745227921;3;Chrome;0;1
SID_00016;387;ICMP;6;2.921.361.960.073.890;DES;0.25491245113627936;3;Chrome;0;1
SID_00017;297;TCP;8;14.214.143.717.610.300;AES;0.345367552273892;3;Firefox;0;1
SID_00018;562;UDP;1;8.764.100.168.835.020;None;0.13672918975796927;2;Firefox;0;0
SID_00019;318;TCP;5;50.498.866.997.657.400;AES;0.3942314568896387;1;Unknown;0;1
SID_00020;217;ICMP;2;8.836.175.678.484.250;DES;0.3101131570512104;0;Chrome;0;0
SID_00021;793;TCP;3;1.221.894.142.089.280;AES;0.36932464932808645;2;Firefox;0;0
SID_00022;454;TCP;1;29.971.154.797.427.700;None;0.37387459160573533;1;Chrome;0;0
SID_00023;513;TCP;3;6.545.261.426.459.770;AES;0.49702954355494516;1;Firefox;0;0
SID_00024;215;TCP;8;3.170.788.581.057.760;AES;0.461950842242767;2;Chrome;0;1
SID_00025;391;TCP;5;9.317.112.499.822.250;AES;0.536245189457405;2;Firefox;0;0
SID_00026;522;TCP;4;21.159.584.253.834.600;AES;0.1078985576055601;3;Firefox;0;1
SID_00027;269;TCP;9;9.270.169.297.371.480;None;0.5068194256848887;0;Chrome;0;1
SID_00028;575;TCP;3;32.862.217.277.677.400;DES;0.4204711850467863;0;Chrome;0;0
SID_00029;379;UDP;2;21.498.212.232.301.000;AES;0.7863154442710675;2;Chrome;0;1
SID_00030;441;TCP;7;6.049.615.522.886.480;AES;0.33603184779360756;0;Firefox;0;1
SID_00031;379;TCP;1;44.762.330.730.772.800;DES;0.09938981856189825;0;Chrome;0;0
SID_00032;870;UDP;2;6.742.716.307.687.520;DES;0.2720868405623606;1;Chrome;0;1
SID_00033;497;TCP;1;5.514.693.389.958.690;None;0.035139252570455276;1;Chrome;1;0
SID_00034;288;ICMP;2;103.910.118.603.804;AES;0.11026943862498403;3;Chrome;0;1
SID_00035;664;TCP;6;1.650.942.099.269.790;None;0.39154420865502676;2;Chrome;1;0
SID_00036;255;TCP;2;26.871.323.796.747.200;AES;0.5173361768348047;1;Chrome;1;0
SID_00037;541;TCP;5;1.622.873.080.817.910;None;0.13797582341231138;2;Chrome;0;0
SID_00038;108;TCP;7;33.253.086.894.656.900;AES;0.07950932193613122;2;Firefox;0;1
SID_00039;234;TCP;5;16.083.650.968.582.000;DES;0.6459042598252172;4;Firefox;0;1
SID_00040;539;TCP;4;3.619.425.945.829.810;DES;0.30878995992065345;0;Chrome;0;0
SID_00041;647;TCP;2;180.141.325.899.014;None;0.29918403943597227;1;Chrome;0;0
SID_00042;534;TCP;4;8.882.555.882.449.730;AES;0.0367521363575246;3;Chrome;0;1
SID_00043;476;TCP;4;4.601.784.563.437.430;DES;0.39741946159176655;2;Edge;0;0
SID_00044;439;TCP;5;16.535.169.443.242.000;None;0.24531311486974489;2;Chrome;0;0
SID_00045;204;TCP;4;8.998.403.029.798.160;DES;0.3373211395417786;1;Chrome;0;0
SID_00046;356;TCP;2;14.010.372.662.699.000;DES;0.6729768279913647;1;Chrome;0;1
SID_00047;407;TCP;7;4.326.976.830.475.840;DES;0.08176971138367407;3;Edge;1;1
SID_00048;711;TCP;5;12.824.285.713.839.400;AES;0.20744548353418402;2;Edge;0;1
SID_00049;568;TCP;6;36.573.555.486.698.200;AES;0.5343683322456065;2;Unknown;0;1
SID_00050;147;TCP;1;1.062.659.149.730.580;AES;0.26337263172689646;1;Edge;0;0
SID_00051;564;TCP;2;4.574.952.008.808.080;None;0.219704731816743;1;Edge;1;0
SID_00052;422;TCP;5;4.156.167.950.841.100;AES;0.4663241681421678;1;Chrome;0;0
SID_00053;364;TCP;5;12.741.942.392.067.000;AES;0.8708336888298047;2;Firefox;0;1
SID_00054;622;TCP;6;10.685.874.364.661.200;None;0.3298889701600508;1;Firefox;1;1
SID_00055;706;TCP;4;210.719.716.665.885;DES;0.4658562587345757;2;Edge;1;0
SID_00056;686;TCP;3;5.685.288.982.396.600;DES;0.6136432536281438;1;Firefox;0;1
SID_00057;332;TCP;2;8.086.446.595.055.910;AES;0.17424548207039026;2;Chrome;0;0
SID_00058;438;TCP;4;4.157.067.630.688.460;DES;0.21723463693334447;1;Chrome;0;0
SID_00059;566;UDP;5;830.483.464.807.917;DES;0.6028501934467423;1;Firefox;0;1
SID_00060;695;UDP;1;9.898.897.960.942.780;AES;0.259418552130799;2;Edge;0;1
SID_00061;404;TCP;9;1.622.860.870.864.440;DES;0.23567555024295073;2;Chrome;0;1
SID_00062;462;TCP;5;15.413.967.703.070.900;AES;0.04001918291917886;2;Chrome;0;0
